	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8619.0	1.4313513952582385e-05	-11.154306435310572	0.0	-27.651036975942763	0.007001949048514575	9.801831274651428e-13	2.3606813924217803e-05	0.00025150640920265427	0.03474063746653625	-1.2101342923531666	-1.2101342916626656	-6.904938842922093e-10	-6.905080951469245e-10	-1.8491163461531457e-12
B	295.0	4.912107170612174e-07	-14.52639264223012	-2.0	-38.01029094967518	0.00024029266498366912	3.1069937885312235e-17	7.482910302612351e-10	1.5724010879095215e-08	0.002002515674025681	-2.2162303422472434	-2.2162303435642157	1.316966091735594e-09	1.3169803025903093e-09	3.52674833781208e-12
C	4039.0	6.7073651949238225e-06	-11.912304352511832	-2.0	-31.530080604318393	0.0032811390340778943	2.0260958153951985e-14	4.879666418086932e-07	7.091628374483929e-06	0.018766686832300376	1.2430271476717518	1.243027147742053	-7.030287463294371e-11	-7.030465098978311e-11	-1.8826606940081092e-13
D	643.0	1.068831127781331e-06	-13.748944910541223	-4.0	-38.083032083293325	0.0005228556120449398	2.8890117759385894e-17	6.957920566928105e-10	1.4671450621077302e-08	0.003950804298981085	2.1048055330593485	2.104805533403135	-3.438032081248821e-10	-3.4378899727016687e-10	-9.205969320191798e-13
E	12960.0	2.1522376141304903e-05	-10.746417413277886	-2.0	-28.63989796019876	0.010528412634634294	3.646282840186171e-13	8.78173864775125e-06	0.00010224434415504204	0.04794299794810345	0.0	0.0	0.0	0.0	0.0
F	57.0	9.522736688037257e-08	-16.166998469229075	-10.0	-50.07728091883073	4.6583751071152996e-05	1.7853083171991534e-22	4.2997517566407614e-15	1.4223673020631826e-13	0.0004646383875258152	0.0	0.0	0.0	0.0	0.0
A_ext	602200.0	0.0010000000000000002	-6.907755278982137	0.0	-17.12402270348606	0.4891844917824189	3.6570544944566896e-08	0.8807681191638712	0.11182310389348257	0.3497745315789944	-70.8640459972251	-1.0143135139931592	-69.84973248323195	-69.84973248323195	-0.18705055203249285
D_ext	6.0	9.999999999999982e-09	-18.420680743952367	-4.0	-49.66406054262949	4.891844917824179e-06	2.6988115332611054e-22	6.4998406825252686e-15	2.1233028731274182e-13	5.981719124089313e-05	107.88311214421415	1.009356014995622	106.87375612921853	106.87375612921852	0.2861971602619281
E_ext	602200.0	0.0010000000000000002	-6.907755278982137	-2.0	-19.12402270348606	0.4891844917824189	4.9492850581902354e-09	0.11919900287282115	0.2535316171834639	0.3497745315789944	-47.463270878167705	-1.0215223763006724	-46.44174850186703	-46.44174850186703	-0.12436632734010553
F_ext	6.0	9.999999999999982e-09	-18.420680743952367	-10.0	-55.66406054262949	4.891844917824179e-06	6.689684962483237e-25	1.6111494239794058e-17	6.229831272874163e-16	5.981719124089313e-05	10.522736685047974	1.105011829379903	9.417724855668071	9.417724855668071	0.025219719110101492
