	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	10040.0	1.6673467845774905e-05	-11.001691853695966	0.0	-27.27271211426112	0.008158486720900629	1.4309077050407382e-12	3.446181167629302e-05	0.00035411781686244003	0.03923168717705931	-1.22670984352939	-1.217596236739827	-0.009113606789561857	-0.009113606789560968	-1.6316630313324698e-05
B	300.0	4.992543824386572e-07	-14.510150086644632	-2.0	-37.97002636597535	0.0002442899273956004	3.234648332465537e-17	7.790288729299209e-10	1.633855152336002e-08	0.002031797144922764	-2.849915903734974	-2.1572147676656255	-0.6927011360693527	-0.6927011360693527	-0.0012401838938010043
C	3996.0	6.636815049142285e-06	-11.922878370823952	-2.0	-31.556293132459736	0.0032474568547071385	1.9736767414226442e-14	4.7533796857184714e-07	6.920559457712028e-06	0.018607548134185158	1.5321918331321527	1.2354833357831752	0.2967084973489804	0.2967084973489804	0.0005312148059322223
D	507.0	8.420986615351544e-07	-13.987368654348666	-4.0	-38.67407409869755	0.00041204690058305345	1.5997901784878182e-17	3.8529157162558416e-10	8.351973388833006e-09	0.0032116473926915145	1.9855681977622908	2.079773390332818	-0.09420519257054139	-0.09420519257054139	-0.00016866113891683687
E	11403.0	1.8936478542750975e-05	-10.874420414485993	-2.0	-28.957211792301532	0.009265799422212123	2.6548666212669825e-13	6.393949323599058e-06	7.647264692266413e-05	0.043377146346818204	-0.12694476456026393	2.3805977068969142e-05	-0.12696857053732913	-0.12696857053732913	-0.0002273193560687059
F	53.0	8.802870878184876e-08	-16.245602839514277	-10.0	-50.27213770906076	4.307328615125079e-05	1.4692239508657077e-22	3.538461560215842e-15	1.1774260688447767e-13	0.0004329988421657737	-0.1328715228187729	0.0007768927461355712	-0.1336484155649078	-0.1336484155649078	-0.0002392786784732974
A_ext	602200.0	0.0010000000000000002	-6.907755278982137	0.0	-17.12402270348606	0.48930953034872166	3.6570544944566896e-08	0.8807606726411424	0.11182960496758297	0.34973888155635324	-103.63863252872372	-1.00974292013994	-102.62888960858378	-102.62888960858378	-0.1837425829174716
D_ext	6.0	9.999999999999982e-09	-18.420680743952367	-4.0	-49.66406054262949	4.893095303487207e-06	2.6988115332611054e-22	6.499785729115486e-15	2.1232854710295183e-13	5.983123033760763e-05	164.27323694508374	1.0061247024846842	163.26711224259904	163.26711224259904	0.2923067863575794
E_ext	602200.0	0.0010000000000000002	-6.907755278982137	-2.0	-19.12402270348606	0.48930953034872166	4.9492850581902354e-09	0.11919799509555852	0.2535304814536434	0.34973888155635324	-73.9603489516046	-1.0137060747977413	-72.94664287680686	-72.94664287680686	-0.1306006976053439
F_ext	6.0	9.999999999999982e-09	-18.420680743952367	-10.0	-55.66406054262949	4.893095303487207e-06	6.689684962483237e-25	1.6111358023909947e-17	6.22977996443307e-16	5.983123033760763e-05	14.144426538993551	1.0760778720192512	13.0683486669743	13.0683486669743	0.02339703905687702
