	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	9117.0	1.51403644331e-05	-11.0981462394	0.0	-27.5118183106	0.00741058884762	1.12659837527e-12	2.7133027173e-05	0.000285297237791	0.0363477924443	-0.0479444346308	-0.0479444242589	-1.03718682531e-08	7.60551135431	0.0280346442379
B	339.0	5.63132523001e-07	-14.3897508493	-2.0	-37.6715619313	0.000275630326675	4.3596189186e-17	1.04997185491e-09	2.17076457162e-08	0.00225919018726	-3.27535780774	-24.7820266135	21.5066688057	56.9558135081	0.209944590784
C	3412.0	5.66666604236e-06	-12.0809096127	-2.0	-31.9480456577	0.00277360114825	1.33395157225e-14	3.2126927441e-07	4.80329248959e-06	0.0163298783884	1.23931366841	11.9926487863	-10.7533351179	-12.5326584692	-0.0461965810282
D	656.0	1.09042916774e-06	-13.7289392073	-4.0	-38.0334388215	0.000533720457344	3.03589950959e-17	7.31166897597e-10	1.53811042393e-08	0.00402192434344	0.497295232385	0.497294830171	4.02213363948e-07	-113.397352779	-0.417993517408
E	12349.0	2.05071573767e-05	-10.7947365924	-2.0	-28.7596790884	0.0100374143848	3.23467066967e-13	7.79039000079e-06	9.1635394388e-05	0.0461865171799	0.000723648589783	0.000723758243164	-1.09653380376e-07	-1.74583050156e-05	-6.43529865789e-08
F	50.0	8.39640601166e-08	-16.2928769854	-10.0	-50.3893282456	4.10969716251e-05	1.30675086457e-22	3.1471824827e-15	1.05091563401e-13	0.000415061993322	1.1167425705	11.8700771787	-10.7533346082	-10.8284087384	-0.039914553079
A_ext	602199.0	0.000999999996233	-6.90775528275	0.0	-17.1240227128	0.489459078243	3.6570544603e-08	0.880766031825	0.11182492622	0.349696201665					-0.229228203197
D_ext	6.0	1.00000000082e-08	-18.4206807431	-4.0	-49.6640605406	4.89459080491e-06	2.69881153878e-22	6.49982535249e-15	2.12329801857e-13	5.98480211287e-05					0.459814697086
E_ext	602200.0	0.00100000000072	-6.90775527826	-2.0	-19.1240227017	0.489459080439	4.949285067e-09	0.119198721708	0.253531300321	0.349696201038					-1.20437282564e-08
F_ext	6.0	1.00000000624e-08	-18.4206807377	-10.0	-55.6640605272	4.89459083141e-06	6.68968506593e-25	1.61114564567e-17	6.2298170411e-16	5.98480214262e-05					0.0355389990009
