	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	27773.0	4.61202173425e-05	-9.98425915003	0.0	-24.7505410162	0.0221537064327	1.782282786e-11	0.000429072041451	0.00332697557692	0.0844000933432	-4.1159946604	-1.02132912105	-3.09466553935	-3.09466553935	-0.00337042440007
B	267.0	4.44235266114e-07	-14.6269115362	-2.0	-38.2594728841	0.000213387061892	2.42170950264e-17	5.83009524788e-10	1.23964251801e-08	0.00180363340995	-9.51835066517	-4.00253216077	-5.5158185044	-5.5158185044	-0.00600732099712
C	9496.0	1.57703726992e-05	-11.0573775238	-2.0	-29.4107544509	0.00757525066538	1.68683123157e-13	4.06092751275e-06	5.04127568209e-05	0.0369889554064	-5.87904483847	2.00380742932	-7.88285226779	-7.88285226779	-0.00858527594912
D	411.0	6.82657617972e-07	-14.1972723945	-4.0	-39.1944162744	0.000327912515032	9.50782743099e-18	2.28894256155e-10	5.0809399884e-09	0.00263076462487	-5.15904915184	2.03027145124	-7.18932060308	-7.18932060308	-0.00782994519842
E	11242.0	1.86693686145e-05	-10.8886264192	-2.0	-28.9924278555	0.00896777455529	2.56299975909e-13	6.17024159979e-06	7.40168148937e-05	0.0422751450506	4.37046866642	-0.000326430775336	4.37079509719	4.37079509719	0.00476026706472
F	73.0	1.21644411799e-07	-15.9221637055	-10.0	-49.4703462659	5.84315240354e-05	3.27568097901e-22	7.88597149594e-15	2.56086601389e-13	0.000569570338511	-2.37542741225	0.705101637727	-3.08052904997	-3.08052904997	-0.00335502823913
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.480346965153	3.65705449446e-08	0.880410140279	0.112135560703	0.352212775242	-160.419271747	-1.00627276733	-159.41299898	-159.41299898	-0.173617941783
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.80346965153e-06	2.69881153326e-22	6.49719889103e-15	2.12246629168e-13	5.88241158238e-05	297.637949369	1.00337111284	296.634578256	296.634578256	0.323067035112
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.480346965153	4.94928505819e-09	0.119150555699	0.253477009267	0.352212775242	-118.915218037	-1.00848066956	-117.906737367	-117.906737367	-0.128413148207
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.80346965153e-06	6.68968496248e-25	1.61049458934e-17	6.22736469401e-16	5.88241158238e-05	4.37393847639	1.29638951836	3.07754895803	3.07754895803	0.00335178259773
