	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8619.0	1.43135139605e-05	-11.1543064348	0.0	-27.6510369746	0.00700194905248	9.80183128814e-13	2.36068139567e-05	0.000251506409516	0.0347406374823	-1.21013429117	-1.21013429113	-3.70601327404e-11	-3.70601327404e-11	-9.92417953372e-14
B	295.0	4.91210717676e-07	-14.526392641	-2.0	-38.0102909466	0.000240292665287	3.10699379817e-17	7.48291032583e-10	1.57240109256e-08	0.00200251567625	-2.21623033998	-2.21623034624	6.25828988632e-09	6.25828988632e-09	1.6759059418e-11
C	4039.0	6.7073651776e-06	-11.9123043551	-2.0	-31.5300806107	0.00328113902564	2.02609580242e-14	4.87966638684e-07	7.0916283322e-06	0.0187666867925	1.24302714545	1.24302714805	-2.59498733612e-09	-2.59498733612e-09	-6.94911489463e-12
D	643.0	1.06883112767e-06	-13.7489449106	-4.0	-38.0830320836	0.000522855611997	2.88901177519e-17	6.95792056512e-10	1.46714506175e-08	0.00395080429866	2.10480553425	2.10480553369	5.60831381335e-10	5.6084559219e-10	1.50190970771e-12
E	12960.0	2.15223761256e-05	-10.746417414	-2.0	-28.639897962	0.0105284126271	3.64628283359e-13	8.78173863185e-06	0.000102244343986	0.0479429979212	0.0	0.0	0.0	0.0	0.0
F	57.0	9.52273671225e-08	-16.1669984667	-10.0	-50.0772809125	4.65837511902e-05	1.78530832845e-22	4.29975178375e-15	1.42236731076e-13	0.000464638388594	0.0	0.0	0.0	0.0	0.0
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.489184491788	3.65705449446e-08	0.880768119164	0.111823103893	0.349774531577	-70.8640461264	-1.01431351397	-69.8497326124	-69.8497326124	-0.187050551751
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.89184491788e-06	2.69881153326e-22	6.49984068253e-15	2.12330287313e-13	5.98171912415e-05	107.883112768	1.00935601494	106.873756753	106.873756753	0.286197160972
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.489184491788	4.94928505819e-09	0.119199002873	0.253531617183	0.349774531577	-47.4632712473	-1.02152237613	-46.4417488712	-46.4417488712	-0.124366327912
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.89184491788e-06	6.68968496248e-25	1.61114942398e-17	6.22983127287e-16	5.98171912415e-05	10.5227365573	1.10501183079	9.41772472653	9.41772472653	0.0252197186797
